Tag_Option,Account_Category,Account_Name,Account_Code,Total
Overall,Operating Income,Govrenment Sales - المبيعات الحكومية,411,22853290.0
8000010 - تسوية مراكز التكلفة تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000011 - المصاريف العمومية والادارية تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000030 - تدريب وتطوير تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000040 - مكتب ادارة المشاريع تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000050 - الاتصال المؤسسي تكامل,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8000060 - منصة قياس الأثر,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Operating Income,Govrenment Sales - المبيعات الحكومية,411,5934840.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Operating Income,Govrenment Sales - المبيعات الحكومية,411,2405000.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,6819250.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Operating Income,Govrenment Sales - المبيعات الحكومية,411,775000.0
8025010 - مشروع العربة,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025020 - مشروع وزارة الرياضة,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025040 - مصنع الابتكار - اشوكا,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025060 - مجموعات عمل التطوع التكافلي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,6919200.0
8025070 - سفر الإفطار في الحرم المكي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025080 - سوق الدار,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025090 - هاكاثون الوعي المعرفي,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8026020 - التأهيل للتوظيف,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
Untagged,Operating Income,Govrenment Sales - المبيعات الحكومية,411,0.0
Overall,Operating Income,International sales - مبيعات دولية,417,46636.4
8000010 - تسوية مراكز التكلفة تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000011 - المصاريف العمومية والادارية تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000030 - تدريب وتطوير تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000040 - مكتب ادارة المشاريع تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000050 - الاتصال المؤسسي تكامل,Operating Income,International sales - مبيعات دولية,417,0.0
8000060 - منصة قياس الأثر,Operating Income,International sales - مبيعات دولية,417,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Operating Income,International sales - مبيعات دولية,417,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Operating Income,International sales - مبيعات دولية,417,0.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Operating Income,International sales - مبيعات دولية,417,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Operating Income,International sales - مبيعات دولية,417,0.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Operating Income,International sales - مبيعات دولية,417,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Operating Income,International sales - مبيعات دولية,417,0.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Operating Income,International sales - مبيعات دولية,417,0.0
8025010 - مشروع العربة,Operating Income,International sales - مبيعات دولية,417,0.0
8025020 - مشروع وزارة الرياضة,Operating Income,International sales - مبيعات دولية,417,0.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Operating Income,International sales - مبيعات دولية,417,0.0
8025040 - مصنع الابتكار - اشوكا,Operating Income,International sales - مبيعات دولية,417,46636.4
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Operating Income,International sales - مبيعات دولية,417,0.0
8025060 - مجموعات عمل التطوع التكافلي,Operating Income,International sales - مبيعات دولية,417,0.0
8025070 - سفر الإفطار في الحرم المكي,Operating Income,International sales - مبيعات دولية,417,0.0
8025080 - سوق الدار,Operating Income,International sales - مبيعات دولية,417,0.0
8025090 - هاكاثون الوعي المعرفي,Operating Income,International sales - مبيعات دولية,417,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Operating Income,International sales - مبيعات دولية,417,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Operating Income,International sales - مبيعات دولية,417,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Operating Income,International sales - مبيعات دولية,417,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Operating Income,International sales - مبيعات دولية,417,0.0
8026020 - التأهيل للتوظيف,Operating Income,International sales - مبيعات دولية,417,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Operating Income,International sales - مبيعات دولية,417,0.0
Untagged,Operating Income,International sales - مبيعات دولية,417,0.0
Overall,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,3831813.04
8000010 - تسوية مراكز التكلفة تكامل,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8000011 - المصاريف العمومية والادارية تكامل,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8000030 - تدريب وتطوير تكامل,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8000040 - مكتب ادارة المشاريع تكامل,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
